Total de correspondencias: 26

Pag.  1 | Linha  2 (Palavra: 'governo'): Governo do Estado de São Paulo
Pag.  1 | Linha 39 (Palavra: 'marca'): valores cívicos e patrióticos que se estabeleceram como a marca da Rev Const 1932 da
Pag.  2 | Linha 49 (Palavra: 'comunicação'): 6.1.3.3. acompanhar, no âmbito da Polícia Militar, os trabalhos de Comunicação
Pag.  3 | Linha 29 (Palavra: 'governador'): : Chegada do Governador do Estado de São Paulo;
Pag.  3 | Linha 32 (Palavra: 'governador'): : continência ao Governador e deslocamento para o palanque;
Pag.  3 | Linha 50 (Palavra: 'marca'): PM conduzem as urnas, em passo marcado e ao som da marcha fúnebre executada pelo CMus;
Pag.  3 | Linha 57 (Palavra: 'governador'): Governador, Prefeito, Secretário da Segurança Pública, Cmt-G e Presidente da Soc Vet 32 –
Pag.  4 | Linha 16 (Palavra: 'marca'): “marcha”, com passo marcado, prosseguindo em linha reta;
Pag.  4 | Linha 51 (Palavra: 'governo'): 6.7.1.1. viabilizar apoio do Governo do Estado, para:
Pag.  5 | Linha 35 (Palavra: 'governo'): 6.7.1.14. contatar o Cerimonial do Governo do Estado de São Paulo, da Prefeitura
Pag.  5 | Linha 46 (Palavra: 'marca'): 6.7.1.16.3. providenciar almofadas para a cerimônia de outorga e demarcadores
Pag.  6 | Linha 20 (Palavra: 'comunicação'): particulares por meio do acionamento do Sistema de Comunicação Institucional.
Pag.  6 | Linha 26 (Palavra: 'comunicação'): eventuais recursos necessários não suportados pela Coordenadoria de Comunicação do
Pag.  6 | Linha 27 (Palavra: 'governo'): Governo do Estado.
Pag.  7 | Linha 43 (Palavra: 'comunicação'): 6.13.1. providenciar rede de comunicação com transceptores portáteis para
Pag.  7 | Linha 51 (Palavra: 'comunicação'): 6.13.3. manter equipe técnica em som e comunicação a partir de 090730JUL26,
Pag.  8 | Linha 42 (Palavra: 'visual'): garanta sua visualização, colocando-as na zona de desfile e retirando-as ao término do evento;
Pag. 13 | Linha 24 (Palavra: 'governo'): do Governo do Estado, a data para vistoria das estruturas temporárias e a instalação dos
Pag. 13 | Linha 26 (Palavra: 'governo'): 6.25.1.3. caso o contrato da Coordenadoria de Eventos do Governo do Estado
Pag. 13 | Linha 34 (Palavra: 'logo'): descarregar as urnas e retirar-se do local tão logo o narrador anuncie a entrada das autoridades
Pag. 15 | Linha 27 (Palavra: 'comunicação'): e à radiocomunicação:
Pag. 17 | Linha  6 (Palavra: 'governador'): 7.6.1. Governador do Estado, Prefeito da Capital, Oficiais Generais,
Pag. 17 | Linha 22 (Palavra: 'governador'): 7.7.2. autoridades e personalidades: pelo seu pronto reconhecimento (Governador
Pag. 17 | Linha 23 (Palavra: 'governador'): e Vice-Governador do Estado, Prefeito da Capital, Presidentes dos Tribunais, Oficiais Generais,
Pag. 18 | Linha  5 (Palavra: 'governador'): 7.13. a segurança do Governador, do Vice-Governador, do Presidente da
Pag. 18 | Linha 54 (Palavra: 'comunicação'): Comunicação Institucional (Seções de Comunicação Social e Porta-vozes) poderá ocorrer
